Best genes by generation:
Generation 12, Fitness 182.055: LDUULDLLUULLDULLLRDLUDRLRDDLDLURRLDLULLLRUUUULUULRLLUDDRRRDURLDLDRLLDLDUUUDULUDLUULLULRULDLDUUUULLDDRRRRLRRLDRDDURUULLLLLURUDURLLDRRDUUDLURDDUURRRRLDULDDDRUUUDUULURULLULUUDDDDDLDUDLDRLULLLUDUUUDUDRRDDULRDRUUUUUDLDURUULDDUULLLRDUUULULLLDLDDLDRDRUUDRRRLULDLUDDLDDLRRDDURULLDRDDLLULDDUDRLDLLRLLUDLURLRRDDRULRLRLDURUDDRURURRRLLLDLUULLDURDLLUURLRUURULRRLRLDLLRRUDDRURLLRRDDDUUDRURDLUULURLLLDUURRDLUDRULLDULDUUDUDLLRLLLLURDRURLDRULLULDRLUURLDDLRDLLDRDRLDRLDUUUUUDLULULRUDLLRULRDDRRRLURDDDRRDULRRDURDLLDRLRL
Generation 13, Fitness 182.055: LDUULDLLUULLDULLLRDLUDRLRDDLDLURRLDLULLLRUUUULUULRLLUDDRRRDURLDLDRLLDLDUUUDULUDLUULLULRULDLDUUUULLDDRRRRLRRLDRDDURUULLLLLURUDURLLDRRDUUDLURDDUURRRRLDULDDDRUUUDUULURULLULUUDDDDDLDUDLDRLULLLUDUUUDUDRRDDULRDRUUUUUDLDURUULDDUULLLRDUUULULLLDLDDLDRDRUUDRRRLULDLUDDLDDLRRDDURULLDRDDLLULDDUDRLDLLRLLUDLURLRRDDRULRLRLDURUDDRURURRRLLLDLUULLDURDLLUURLRUURULRRLRLDLLRRUDDRURLLRRDDDUUDRURDLUULURLLLDUURRDLUDRULLDULDUUDUDLLRLLLLURDRURLDRULLULDRLUURLDDLRDLLDRDRLDRLDUUUUUDLULULRUDLLRULRDDRRRLURDDDRRDULRRDURDLLDRLRL
Generation 14, Fitness 182.055: LDUULDLLUULLDULLLRDLUDRLRDDLDLURRLDLULLLRUUUULUULRLLUDDRRRDURLDLDRLLDLDUUUDULUDLUULLULRULDLDUUUULLDDRRRRLRRLDRDDURUULLLLLURUDURLLDRRDUUDLURDDUURRRRLDULDDDRUUUDUULURULLULUUDDDDDLDUDLDRLULLLUDUUUDUDRRDDULRDRUUUUUDLDURUULDDUULLLRDUUULULLLDLDDLDRDRUUDRRRLULDLUDDLDDLRRDDURULLDRDDLLULDDUDRLDLLRLLUDLURLRRDDRULRLRLDURUDDRURURRRLLLDLUULLDURDLLUURLRUURULRRLRLDLLRRUDDRURLLRRDDDUUDRURDLUULURLLLDUURRDLUDRULLDULDUUDUDLLRLLLLURDRURLDRULLULDRLUURLDDLRDLLDRDRLDRLDUUUUUDLULULRUDLLRULRDDRRRLURDDDRRDULRRDURDLLDRLRL
Generation 15, Fitness 182.055: LDUULDLLUULLDULLLRDLUDRLRDDLDLURRLDLULLLRUUUULUULRLLUDDRRRDURLDLDRLLDLDUUUDULUDLUULLULRULDLDUUUULLDDRRRRLRRLDRDDURUULLLLLURUDURLLDRRDUUDLURDDUURRRRLDULDDDRUUUDUULURULLULUUDDDDDLDUDLDRLULLLUDUUUDUDRRDDULRDRUUUUUDLDURUULDDUULLLRDUUULULLLDLDDLDRDRUUDRRRLULDLUDDLDDLRRDDURULLDRDDLLULDDUDRLDLLRLLUDLURLRRDDRULRLRLDURUDDRURURRRLLLDLUULLDURDLLUURLRUURULRRLRLDLLRRUDDRURLLRRDDDUUDRURDLUULURLLLDUURRDLUDRULLDULDUUDUDLLRLLLLURDRURLDRULLULDRLUURLDDLRDLLDRDRLDRLDUUUUUDLULULRUDLLRULRDDRRRLURDDDRRDULRRDURDLLDRLRL
Generation 16, Fitness 182.055: LDUULDLLUULLDULLLRDLUDRLRDDLDLURRLDLULLLRUUUULUULRLLUDDRRRDURLDLDRLLDLDUUUDULUDLUULLULRULDLDUUUULLDDRRRRLRRLDRDDURUULLLLLURUDURLLDRRDUUDLURDDUURRRRLDULDDDRUUUDUULURULLULUUDDDDDLDUDLDRLULLLUDUUUDUDRRDDULRDRUUUUUDLDURUULDDUULLLRDUUULULLLDLDDLDRDRUUDRRRLULDLUDDLDDLRRDDURULLDRDDLLULDDUDRLDLLRLLUDLURLRRDDRULRLRLDURUDDRURURRRLLLDLUULLDURDLLUURLRUURULRRLRLDLLRRUDDRURLLRRDDDUUDRURDLUULURLLLDUURRDLUDRULLDULDUUDUDLLRLLLLURDRURLDRULLULDRLUURLDDLRDLLDRDRLDRLDUUUUUDLULULRUDLLRULRDDRRRLURDDDRRDULRRDURDLLDRLRL
Generation 17, Fitness 189.65: LDUULDLLUULLDULLLRDLUDRLRDDUDLURRLDLULLLRUUUULUULRLLUDDRRRDURLDLDRLLDLDUUUDULUDLUULLULRULDLDUUUULLDDRRRRLRRLDRDDURUULLLLLURUDURLLDRRDURDLURDDUURRRRLDULDDDRUUUDUULURULLULUUDDDDDLDUDLDRLULLLUDUUUDUDRRDDULRDRUUUUUDLDDRUULDDUULLLRDUUULULLLDLDDLDRDRUUDRRRLRRDLUDDLDDLRRDDURULLDRDDLLULDDUDLLDDDRURULRLLLLDLLURRRDUDDDUDLUDLLRRDURLRLUUDUDLRRRRDLLRLDULLDRLRURDRRUDDDLUULLLRRDUDDURLDDDLDRURLLUDLDULULDDRDULDUULDUDRLURDDDRULRLDRRRUDRDULDLRLDUDRURDRRLRLULDRUDUDDLLUUDLRDRUDUDLLLDDUUDRRUURURUUULRRRDDUDDUURRULRUUR
Generation 18, Fitness 189.65: LDUULDLLUULLDULLLRDLUDRLRDDUDLURRLDLULLLRUUUULUULRLLUDDRRRDURLDLDRLLDLDUUUDULUDLUULLULRULDLDUUUULLDDRRRRLRRLDRDDURUULLLLLURUDURLLDRRDURDLURDDUURRRRLDULDDDRUUUDUULURULLULUUDDDDDLDUDLDRLULLLUDUUUDUDRRDDULRDRUUUUUDLDDRUULDDUULLLRDUUULULLLDLDDLDRDRUUDRRRLRRDLUDDLDDLRRDDURULLDRDDLLULDDUDLLDDDRURULRLLLLDLLURRRDUDDDUDLUDLLRRDURLRLUUDUDLRRRRDLLRLDULLDRLRURDRRUDDDLUULLLRRDUDDURLDDDLDRURLLUDLDULULDDRDULDUULDUDRLURDDDRULRLDRRRUDRDULDLRLDUDRURDRRLRLULDRUDUDDLLUUDLRDRUDUDLLLDDUUDRRUURURUUULRRRDDUDDUURRULRUUR
Generation 19, Fitness 189.65: LDUULDLLUULLDULLLRDLUDRLRDDUDLURRLDLULLLRUUUULUULRLLUDDRRRDURLDLDRLLDLDUUUDULUDLUULLULRULDLDUUUULLDDRRRRLRRLDRDDURUULLLLLURUDURLLDRRDURDLURDDUURRRRLDULDDDRUUUDUULURULLULUUDDDDDLDUDLDRLULLLUDUUUDUDRRDDULRDRUUUUUDLDDRUULDDUULLLRDUUULULLLDLDDLDRDRUUDRRRLRRDLUDDLDDLRRDDURULLDRDDLLULDDUDLLDDDRURULRLLLLDLLURRRDUDDDUDLUDLLRRDURLRLUUDUDLRRRRDLLRLDULLDRLRURDRRUDDDLUULLLRRDUDDURLDDDLDRURLLUDLDULULDDRDULDUULDUDRLURDDDRULRLDRRRUDRDULDLRLDUDRURDRRLRLULDRUDUDDLLUUDLRDRUDUDLLLDDUUDRRUURURUUULRRRDDUDDUURRULRUUR
Generation 20, Fitness 189.65: LDUULDLLUULLDULLLRDLUDRLRDDUDLURRLDLULLLRUUUULUULRLLUDDRRRDURLDLDRLLDLDUUUDULUDLUULLULRULDLDUUUULLDDRRRRLRRLDRDDURUULLLLLURUDURLLDRRDURDLURDDUURRRRLDULDDDRUUUDUULURULLULUUDDDDDLDUDLDRLULLLUDUUUDUDRRDDULRDRUUUUUDLDDRUULDDUULLLRDUUULULLLDLDDLDRDRUUDRRRLRRDLUDDLDDLRRDDURULLDRDDLLULDDUDLLDDDRURULRLLLLDLLURRRDUDDDUDLUDLLRRDURLRLUUDUDLRRRRDLLRLDULLDRLRURDRRUDDDLUULLLRRDUDDURLDDDLDRURLLUDLDULULDDRDULDUULDUDRLURDDDRULRLDRRRUDRDULDLRLDUDRURDRRLRLULDRUDUDDLLUUDLRDRUDUDLLLDDUUDRRUURURUUULRRRDDUDDUURRULRUUR
Generation 21, Fitness 189.65: LDUULDLLUULLDULLLRDLUDRLRDDUDLURRLDLULLLRUUUULUULRLLUDDRRRDURLDLDRLLDLDUUUDULUDLUULLULRULDLDUUUULLDDRRRRLRRLDRDDURUULLLLLURUDURLLDRRDURDLURDDUURRRRLDULDDDRUUUDUULURULLULUUDDDDDLDUDLDRLULLLUDUUUDUDRRDDULRDRUUUUUDLDDRUULDDUULLLRDUUULULLLDLDDLDRDRUUDRRRLRRDLUDDLDDLRRDDURULLDRDDLLULDDUDLLDDDRURULRLLLLDLLURRRDUDDDUDLUDLLRRDURLRLUUDUDLRRRRDLLRLDULLDRLRURDRRUDDDLUULLLRRDUDDURLDDDLDRURLLUDLDULULDDRDULDUULDUDRLURDDDRULRLDRRRUDRDULDLRLDUDRURDRRLRLULDRUDUDDLLUUDLRDRUDUDLLLDDUUDRRUURURUUULRRRDDUDDUURRULRUUR
