Best genes by generation:
Generation 12, Fitness 140: RLDRLLDLLLDURLURRDLDDLRLLUULUDULRUUUULRRUUUDUUULLLDDLRDRDDDRLRDRLRRRURUULLUURDLRRURULRDRDULDRUDDUUURUDUDLDRRLLLRDLRRRLDDUUDDLLUDLLLLRLDDDURURRLRLRLRRUURURLUUULLDDRDDUUDLURURRRRLLDULRLRUURRDLURRDRLDRRRLDDRLRULLRDDDLRLDLDDURLURLUUURLDRUDURDDUURLDDDLRRURUDDDRUULDDUDURDRLLDDURRRDDURLLDLDUUUURULRLURRLDDRDRLDRRLULLRUURDRLLRULUULURDLDLRDDLDLDLRULRUDRLRUDDDRRULRRLRULLURLDURURLLUDULDRLULUULDUDRRRDDULURLRUD
Generation 13, Fitness 169: LLULLDRLUURURRRRLDUDRUURLRLDURLURDDRDRDRDURLUUUULDURRDDUUUUULLUUDRRLDDULDULDDRDRRURDRRRUUUULLULLDURLDURDLRURUDRDURRLLUDRRULLLDLLUUDLRRUDRDRUDUDRUDLLRDLRRRURRRLUDDDDDUDUDRLURDLLUUDUUUUDUURUURDUDDLRLRLUURLDRLDRUDDLDDLRUULLDLRUDUDDRDRULDRLRRLLULLURLRLLRUULLDLUDURRDLURLURRDRDLRLRUUULUDRDUURRRRUULURRRRDLLRULDLRRDRUDURRLDLRUDRLLRURLLULLULLRUULLLRRURRUDUUDDUUURDRRRRRULRDLURDLDRDUDRUURLLURULRRUDUUDDUURDDD
Generation 14, Fitness 169: LLULLDRLUURURRRRLDUDRUURLRLDURLURDDRDRDRDURLUUUULDURRDDUUUUULLUUDRRLDDULDULDDRDRRURDRRRUUUULLULLDURLDURDLRURUDRDURRLLUDRRULLLDLLUUDLRRUDRDRUDUDRUDLLRDLRRRURRRLUDDDDDUDUDRLURDLLUUDUUUUDUURUURDUDDLRLRLUURLDRLDRUDDLDDLRUULLDLRUDUDDRDRULDRLRRLLULLURLRLLRUULLDLUDURRDLURLURRDRDLRLRUUULUDRDUURRRRUULURRRRDLLRULDLRRDRUDURRLDLRUDRLLRURLLULLULLRUULLLRRURRUDUUDDUUURDRRRRRULRDLURDLDRDUDRUURLLURULRRUDUUDDUURDDD
Generation 15, Fitness 178: RLDRLLDLLLDURLURRDLDDLRLLUULUDULRUUUULRRUUUDUUULLLDDLRDRDDDRLRDRLRRRURUULLUURDLRRURULRDRDULDRUDDUUURUDUDLDRRLLLRDLRRRLDDUUDDLDUDRLLLRLDDDURURRLRLRLRDURRLURDULDLUDRUURURUUUURDRDRLLLDLRRDDDDURRDDRLDDUURLLUUUDUDDURLRRRLRRUURLUDRUDLURUULURULRLRDRRUURDLLLURDRDUDURRUUDURRDUUDURRRDULURURRRUUDLLUULDDLRLLLLDRULDUDRURLLRRUDULLLRLLURLULULULRDDRLLDLLLLDLRDLDULLLDRUURUULULDRRUDDLRLRRUDURURUDDLUURRLDDUULUDUURLL
Generation 16, Fitness 178: RLDRLLDLLLDURLURRDLDDLRLLUULUDULRUUUULRRUUUDUUULLLDDLRDRDDDRLRDRLRRRURUULLUURDLRRURULRDRDULDRUDDUUURUDUDLDRRLLLRDLRRRLDDUUDDLDUDRLLLRLDDDURURRLRLRLRDURRLURDULDLUDRUURURUUUURDRDRLLLDLRRDDDDURRDDRLDDUURLLUUUDUDDURLRRRLRRUURLUDRUDLURUULURULRLRDRRUURDLLLURDRDUDURRUUDURRDUUDURRRDULURURRRUUDLLUULDDLRLLLLDRULDUDRURLLRRUDULLLRLLURLULULULRDDRLLDLLLLDLRDLDULLLDRUURUULULDRRUDDLRLRRUDURURUDDLUURRLDDUULUDUURLL
Generation 17, Fitness 178: RLDRLLDLLLDURLURRDLDDLRLLUULUDULRUUUULRRUUUDUUULLLDDLRDRDDDRLRDRLRRRURUULLUURDLRRURULRDRDULDRUDDUUURUDUDLDRRLLLRDLRRRLDDUUDDLDUDRLLLRLDDDURURRLRLRLRDURRLURDULDLUDRUURURUUUURDRDRLLLDLRRDDDDURRDDRLDDUURLLUUUDUDDURLRRRLRRUURLUDRUDLURUULURULRLRDRRUURDLLLURDRDUDURRUUDURRDUUDURRRDULURURRRUUDLLUULDDLRLLLLDRULDUDRURLLRRUDULLLRLLURLULULULRDDRLLDLLLLDLRDLDULLLDRUURUULULDRRUDDLRLRRUDURURUDDLUURRLDDUULUDUURLL
Generation 18, Fitness 178: RLDRLLDLLLDURLURRDLDDLRLLUULUDULRUUUULRRUUUDUUULLLDDLRDRDDDRLRDRLRRRURUULLUURDLRRURULRDRDULDRUDDUUURUDUDLDRRLLLRDLRRRLDDUUDDLDUDRLLLRLDDDURURRLRLRLRDURRLURDULDLUDRUURURUUUURDRDRLLLDLRRDDDDURRDDRLDDUURLLUUUDUDDURLRRRLRRUURLUDRUDLURUULURULRLRDRRUURDLLLURDRDUDURRUUDURRDUUDURRRDULURURRRUUDLLUULDDLRLLLLDRULDUDRURLLRRUDULLLRLLURLULULULRDDRLLDLLLLDLRDLDULLLDRUURUULULDRRUDDLRLRRUDURURUDDLUURRLDDUULUDUURLL
Generation 19, Fitness 178: RLDRLLDLLLDURLURRDLDDLRLLUULUDULRUUUULRRUUUDUUULLLDDLRDRDDDRLRDRLRRRURUULLUURDLRRURULRDRDULDRUDDUUURUDUDLDRRLLLRDLRRRLDDUUDDLDUDRLLLRLDDDURURRLRLRLRDURRLURDULDLUDRUURURUUUURDRDRLLLDLRRDDDDURRDDRLDDUURLLUUUDUDDURLRRRLRRUURLUDRUDLURUULURULRLRDRRUURDLLLURDRDUDURRUUDURRDUUDURRRDULURURRRUUDLLUULDDLRLLLLDRULDUDRURLLRRUDULLLRLLURLULULULRDDRLLDLLLLDLRDLDULLLDRUURUULULDRRUDDLRLRRUDURURUDDLUURRLDDUULUDUURLL
Generation 20, Fitness 178: RLDRLLDLLLDURLURRDLDDLRLLUULUDULRUUUULRRUUUDUUULLLDDLRDRDDDRLRDRLRRRURUULLUURDLRRURULRDRDULDRUDDUUURUDUDLDRRLLLRDLRRRLDDUUDDLDUDRLLLRLDDDURURRLRLRLRDURRLURDULDLUDRUURURUUUURDRDRLLLDLRRDDDDURRDDRLDDUURLLUUUDUDDURLRRRLRRUURLUDRUDLURUULURULRLRDRRUURDLLLURDRDUDURRUUDURRDUUDURRRDULURURRRUUDLLUULDDLRLLLLDRULDUDRURLLRRUDULLLRLLURLULULULRDDRLLDLLLLDLRDLDULLLDRUURUULULDRRUDDLRLRRUDURURUDDLUURRLDDUULUDUURLL
Generation 21, Fitness 178: RLDRLLDLLLDURLURRDLDDLRLLUULUDULRUUUULRRUUUDUUULLLDDLRDRDDDRLRDRLRRRURUULLUURDLRRURULRDRDULDRUDDUUURUDUDLDRRLLLRDLRRRLDDUUDDLDUDRLLLRLDDDURURRLRLRLRDURRLURDULDLUDRUURURUUUURDRDRLLLDLRRDDDDURRDDRLDDUURLLUUUDUDDURLRRRLRRUURLUDRUDLURUULURULRLRDRRUURDLLLURDRDUDURRUUDURRDUUDURRRDULURURRRUUDLLUULDDLRLLLLDRULDUDRURLLRRUDULLLRLLURLULULULRDDRLLDLLLLDLRDLDULLLDRUURUULULDRRUDDLRLRRUDURURUDDLUURRLDDUULUDUURLL
